更新时间: 2026-06-07 19:30:27（北京时间）

更新时间,#genre#
2026-06-07 19:30:27,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
山西卫视,http://123.60.75.150:540/udp/239.45.0.57:5140$上海市电信
山西卫视,http://123.60.75.150:540/udp/239.45.3.205:5140$上海市电信
甘肃卫视,http://123.60.75.150:540/udp/239.45.0.15:5140$上海市电信
甘肃卫视,http://39.77.75.225:4000/udp/239.253.254.74:8000$山东联通
青海卫视,http://123.60.75.150:540/udp/239.45.0.37:5140$上海市电信
青海卫视,http://39.77.75.225:4000/udp/239.253.254.195:8000$山东联通
三沙卫视,http://123.60.75.150:540/udp/239.45.0.56:5140$上海市电信
山东教育卫视,http://39.77.75.225:4000/udp/239.253.254.59:8000$山东联通
中国教育1台,http://123.60.75.150:540/udp/239.45.1.125:5140$上海市电信
中国教育1台,http://39.77.75.225:4000/udp/239.253.254.110:8000$山东联通
中国教育4台,http://123.60.75.150:540/udp/239.45.0.21:5140$上海市电信
中国教育4台,http://123.60.75.150:540/udp/239.45.1.243:5140$上海市电信
中国教育4台,http://39.77.75.225:4000/udp/239.253.254.116:8000$山东联通
早期教育,http://123.60.75.150:540/udp/239.45.0.54:5140$上海市电信

数字频道,#genre#
CHC动作电影,http://123.60.75.150:540/udp/239.45.0.41:5140$上海市电信
CHC动作电影,http://39.77.75.225:4000/udp/239.253.254.153:8000$山东联通
CHC家庭影院,http://123.60.75.150:540/udp/239.45.0.40:5140$上海市电信
CHC家庭影院,http://39.77.75.225:4000/udp/239.253.254.152:8000$山东联通
CHC影迷电影,http://123.60.75.150:540/udp/239.45.0.42:5140$上海市电信
CHC影迷电影,http://39.77.75.225:4000/udp/239.253.254.154:8000$山东联通
金鹰纪实,http://123.60.75.150:540/udp/239.45.1.45:5140$上海市电信
金鹰纪实,http://39.77.75.225:4000/udp/239.253.254.103:8000$山东联通
纪实科教,http://123.60.75.150:540/udp/239.45.1.14:5140$上海市电信
魅力足球,http://39.77.75.225:4000/udp/239.253.254.100:8000$山东联通
五星体育,http://123.60.75.150:540/udp/239.45.3.210:5140$上海市电信
快乐垂钓,http://123.60.75.150:540/udp/239.45.3.12:5140$上海市电信
茶频道,http://123.60.75.150:540/udp/239.45.3.18:5140$上海市电信
茶频道,http://39.77.75.225:4000/udp/239.253.254.143:8000$山东联通
梨园频道,http://39.77.75.225:4000/udp/239.253.254.139:8000$山东联通
文物宝库,http://39.77.75.225:4000/udp/239.253.254.141:8000$山东联通
武术世界,http://39.77.75.225:4000/udp/239.253.254.140:8000$山东联通
乐游,http://123.60.75.150:540/udp/239.45.3.135:5140$上海市电信
生活时尚,http://123.60.75.150:540/udp/239.45.3.132:5140$上海市电信
生活时尚,http://39.77.75.225:4000/udp/239.253.254.99:8000$山东联通
都市剧场,http://123.60.75.150:540/udp/239.45.3.136:5140$上海市电信
都市剧场,http://39.77.75.225:4000/udp/239.253.254.98:8000$山东联通
欢笑剧场,http://123.60.75.150:540/udp/233.18.204.205:5140$上海市电信
欢笑剧场,http://123.60.75.150:540/udp/239.45.1.4:5140$上海市电信
欢笑剧场,http://123.60.75.150:540/udp/239.45.3.196:5140$上海市电信
游戏风云,http://123.60.75.150:540/udp/239.45.3.131:5140$上海市电信
游戏风云,http://39.77.75.225:4000/udp/239.253.254.95:8000$山东联通
金色学堂,http://123.60.75.150:540/udp/239.45.0.9:5140$上海市电信
金色学堂,http://39.77.75.225:4000/udp/239.253.254.101:8000$山东联通
动漫秀场,http://123.60.75.150:540/udp/239.45.3.134:5140$上海市电信
动漫秀场,http://39.77.75.225:4000/udp/239.253.254.115:8000$山东联通
卡酷少儿,http://123.60.75.150:540/udp/239.45.0.8:5140$上海市电信
卡酷少儿,http://39.77.75.225:4000/udp/239.253.254.66:8000$山东联通
金鹰卡通,http://123.60.75.150:540/udp/239.45.0.38:5140$上海市电信
金鹰卡通,http://123.60.75.150:540/udp/239.45.3.233:5140$上海市电信
金鹰卡通,http://39.77.75.225:4000/udp/239.253.254.117:8000$山东联通
哈哈炫动,http://123.60.75.150:540/udp/239.45.1.55:5140$上海市电信
中国交通,http://39.77.75.225:4000/udp/239.253.254.177:8000$山东联通
中国天气,http://123.60.75.150:540/udp/239.45.3.141:5140$上海市电信

湖北,#genre#

